x,y,Source
6.366074085235596,0.8782896995544434,Wang et al
6.627880573272705,0.9056500792503357,Wang et al
6.04664421081543,0.8201200366020203,Wang et al
9.789007186889648,-1.082584023475647,Wang et al
9.79330062866211,-1.0851737260818481,Wang et al
9.786696434020996,-1.0815880298614502,Wang et al
9.779720306396484,-1.0797401666641235,Wang et al
11.876105308532715,3.2195658683776855,Wang et al
3.9913413524627686,0.24689985811710358,Wang et al
1.81685471534729,1.7672538757324219,Wang et al
-0.186367928981781,-0.021048136055469513,Wang et al
-0.06340472400188446,0.08385688066482544,Wang et al
-0.06340472400188446,0.08385688066482544,Wang et al
-0.186367928981781,-0.021048136055469513,Wang et al
-0.186367928981781,-0.021048136055469513,Wang et al
-0.186367928981781,-0.021048136055469513,Wang et al
-0.186367928981781,-0.021048136055469513,Wang et al
0.6745554208755493,9.443382263183594,Wang et al
0.6743640303611755,9.406201362609863,Wang et al
8.974037170410156,1.4542032480239868,Wang et al
2.3904082775115967,1.0344643592834473,Wang et al
5.951190948486328,0.8510076403617859,Wang et al
-0.06340472400188446,0.08385688066482544,Wang et al
6.022946834564209,0.7996149659156799,Wang et al
9.779720306396484,-1.0797401666641235,Wang et al
9.779720306396484,-1.0797401666641235,Wang et al
9.738676071166992,-1.0648075342178345,Wang et al
9.738676071166992,-1.0648075342178345,Wang et al
9.738676071166992,-1.0648075342178345,Wang et al
9.738676071166992,-1.0648075342178345,Wang et al
9.738676071166992,-1.0648075342178345,Wang et al
9.738676071166992,-1.0648075342178345,Wang et al
9.738676071166992,-1.0648075342178345,Wang et al
9.738676071166992,-1.0648075342178345,Wang et al
9.789007186889648,-1.082584023475647,Wang et al
9.789007186889648,-1.082584023475647,Wang et al
9.789007186889648,-1.082584023475647,Wang et al
