x,y,state_label
0.82176274,-0.04414015,6
0.5811831,0.009197284,6
0.925593,-0.08942047,6
0.91837245,-0.07832381,6
1.4725547,-0.19484311,6
1.5478097,-0.19448747,6
1.6262566,-0.23154855,6
1.7605648,-0.24988203,6
1.7121519,-0.23023711,6
1.9193946,-0.24194281,6
1.8370131,-0.2512689,6
1.8148934,-0.23624894,6
1.8023661,-0.25954846,6
1.8522174,-0.24969357,6
1.9116474,-0.28966933,6
1.9060714,-0.28763083,6
2.0250363,-0.3059361,6
1.989318,-0.29580086,6
2.0270565,-0.30181065,6
1.9590664,-0.28662917,6
1.982422,-0.289583,6
2.054953,-0.2666303,6
2.028264,-0.24928665,6
1.9817337,-0.2986114,6
1.8479868,-0.21890275,6
1.9616351,-0.2562944,6
1.8772289,-0.2561909,6
1.9140903,-0.25705516,6
1.9463538,-0.2307535,6
1.7396675,-0.2588486,6
1.6642625,-0.2545684,6
1.5573547,-0.22416493,6
1.4505519,-0.26496962,6
1.3936776,-0.22562699,6
1.4964108,-0.23123488,6
1.3802731,-0.22096919,6
1.1934097,-0.22533213,6
0.8598007,-0.19406404,6
0.7680726,-0.21902612,6
0.8088802,-0.19204153,6
0.6860644,-0.23346761,6
0.57606673,-0.15940486,6
0.5012143,-0.16143116,6
0.5209557,-0.16357017,6
0.4985544,-0.16321436,6
0.30944872,-0.13576353,6
0.3634327,-0.15561447,6
0.31820303,-0.15634592,6
0.26241982,-0.14648399,6
0.3494417,-0.17550644,6
0.16223592,-0.131736,6
0.097718544,-0.11913848,6
0.17059559,-0.13823524,6
0.025038442,-0.091777235,6
-0.06592791,-0.11194418,6
-0.06089266,-0.0040787538,6
-0.044879835,-0.08073121,6
-0.17341362,-0.025623484,6
-0.13051368,-0.05320933,6
-0.18299502,-0.017044084,6
-0.2736486,0.014689066,6
-0.33189365,0.03188963,6
-0.3447202,0.029672392,6
-0.24795885,-0.015847016,6
-0.3124544,0.05162675,6
-0.32034904,0.07100759,6
-0.29941356,0.0610859,6
-0.34465373,0.0918839,6
-0.36311576,0.07551683,6
-0.38503274,0.056919534,6
-0.33208907,0.06971048,6
-0.3087104,0.056691308,6
-0.35567668,0.106540196,6
-0.31097713,0.13788557,6
-0.3213395,0.18513381,6
-0.39528817,0.17420228,6
-0.40384266,0.15245049,6
-0.35698274,0.22946444,6
-0.44681197,0.23502482,6
-0.3689266,0.10904353,6
-0.46560913,0.12202272,6
-0.37935728,0.11027825,6
-0.42459556,0.11005157,6
-0.39665028,0.11324671,6
-0.3879041,0.12275962,6
-0.48881376,0.15993458,6
-0.39827183,0.10863635,6
-0.41603512,0.11026284,6
-0.40167153,0.06707876,6
-0.47163326,0.113031715,6
-0.4507839,0.12893744,6
-0.4056258,0.123584084,6
-0.30608597,0.06755609,6
-0.43064356,0.13098358,6
-0.46044016,0.19301924,6
-0.4423828,0.18841492,6
-0.33648306,0.12960613,6
-0.33201343,0.17645748,6
-0.38724068,0.15431651,6
-0.38251543,0.19190389,6
-0.42674643,0.25367418,6
-0.4326915,0.25347713,6
-0.5236128,0.22274576,6
-0.4879113,0.18400656,6
-0.49440426,0.14866742,6
-0.41385964,0.14511928,6
-0.48970097,0.14614718,6
-0.5785139,0.23529387,6
-0.56299126,0.09900459,6
-0.5420349,0.13741837,6
-0.6491974,0.19112878,6
-0.5577838,0.17161967,6
-0.60539657,0.21576709,6
-0.58333874,0.16532253,6
-0.62228525,0.23307577,6
-0.59619427,0.2398127,6
-0.5897835,0.20017955,6
-0.6023864,0.1877557,6
-0.570576,0.16478097,6
-0.6200253,0.21618229,6
-0.7378379,0.24118437,6
-0.6849336,0.2709382,6
-0.5801921,0.18872035,6
