roi_index,effector_T_cell_degree_centrality,im_malignant_epithelial_cell_exhausted_T_cell,im_malignant_epithelial_cell_malignant_epithelial_cell,effector_T_cell,malignant_epithelial_cell,effector_T_cell_average_clustering,im_malignant_epithelial_cell_effector_T_cell,exhausted_T_cell_average_clustering,exhausted_T_cell_closeness_centrality,im_effector_T_cell_malignant_epithelial_cell,im_effector_T_cell_effector_T_cell,im_effector_T_cell_exhausted_T_cell,effector_T_cell_closeness_centrality,im_exhausted_T_cell_exhausted_T_cell,malignant_epithelial_cell_closeness_centrality,exhausted_T_cell,malignant_epithelial_cell_degree_centrality,malignant_epithelial_cell_average_clustering,moranI,exhausted_T_cell_degree_centrality,im_exhausted_T_cell_effector_T_cell,im_exhausted_T_cell_malignant_epithelial_cell,state_label,PatientID
252,0.757704158107,0.172124666708,-0.36360157928,0.774102924883,0.830135170903,0.703193196833,0.230738081619,1.41252899464,0.123964422896,0.230738081619,1.0763645831,2.11254525586,0.89270219693,-0.639154330746,1.25066953337,-0.535470578329,1.18288274295,1.72911651392,0.0789522835691,-0.51305307038,2.11254525586,0.172124666708,1,29
253,0.867932571772,-0.321857266052,-0.408456855166,0.916859275397,0.586036094594,0.769026454007,0.182653952177,1.41252899464,0.371486345006,0.182653952177,0.578051678317,1.97233111256,0.91432712932,-0.639154330746,0.51582291469,-0.34528142105,0.603999127734,1.06249949101,0.74631376602,-0.314701001202,1.97233111256,-0.321857266052,1,29
254,0.759872147153,0.588354292736,-0.280696276808,0.949111206827,0.456816058275,0.629097713747,0.0549204085337,1.41252899464,0.436694270915,0.0549204085337,0.854077469912,1.57892032148,0.703915769574,-0.639154330746,0.377357092718,-0.343907089166,0.353075252858,0.527496451979,-0.502767785828,-0.313272166737,1.57892032148,0.588354292736,1,29
255,0.923155338668,-0.386986395014,-0.61699918182,0.914410478012,0.962620271463,0.693105332224,0.415821988253,0.999844590367,0.454373812218,0.415821988253,0.708702325216,1.98493600252,0.83254493041,-0.639154330746,1.29111350797,-0.335014087723,1.24305629848,1.41907494369,0.863120193714,-0.215667993051,1.98493600252,-0.386986395014,1,29
256,1.52240950698,0.024733030563,-0.502700503541,1.68689850537,0.4095230488,0.731800176295,0.193864361859,1.34102002999,0.82298206656,0.193864361859,0.198477592691,1.1618118442,1.37992506931,-0.639154330746,0.780416598433,0.427113688515,0.761949104361,0.827837620953,0.425817925902,0.502590712009,1.1618118442,0.024733030563,1,29
257,1.41364459191,0.471974672757,-0.528130110839,1.67489293905,0.464791314604,0.648993128642,0.126306186002,1.19452511604,0.828441223697,0.126306186002,0.237921192294,1.24801990234,1.17696093574,2.04147799259,0.592906977604,0.524950089835,0.61423175194,0.805498308916,1.62169290966,0.598691105219,1.24801990234,0.471974672757,1,29
258,1.34582763033,-0.651236523137,-0.365751102214,1.72157230246,0.541922020465,0.681235481727,-0.11916033575,1.04879524198,0.475059718398,-0.11916033575,0.424134315468,1.60160312758,1.1344334802,2.46260421913,0.577163416211,0.20457820199,0.566612373489,1.2924291439,1.24547384185,0.151665247671,1.60160312758,-0.651236523137,1,29
259,1.95826216181,0.451431060347,-0.283871440912,1.97845862231,0.00568382212295,0.678168444485,-0.0279363888083,1.09972480311,1.19634589835,-0.0279363888083,-0.155936659665,0.668395121827,2.09017647166,1.81984492526,0.480585894036,1.27388474514,0.397268861666,0.823257163054,0.648334196336,1.24378554025,0.668395121827,0.451431060347,1,29
260,1.61370729534,0.275312373486,-0.554409552124,1.81187184097,0.498815334314,0.61128105089,-0.0554071091746,1.09687831219,0.971996426688,-0.0554071091746,0.121013709649,1.02609098141,1.3524276249,2.04147799259,0.751012775506,1.18769555464,0.659426313154,1.14215437357,-0.62560787982,1.16018119986,1.02609098141,0.275312373486,1,29
261,-1.05564005753,-0.900985932628,-0.0926430187923,-1.10328884553,1.7520583932,-1.44358069665,-1.37969284275,-0.891333809783,-0.931945777628,-1.37969284275,-1.16429177599,-0.886082871419,-1.20055715708,-0.639154330746,1.57918127058,-0.816727215857,1.53768073749,0.393892186082,0.787255368162,-0.808552747867,-0.886082871419,-0.900985932628,6,31
262,-0.934686479869,-0.900985932628,0.0251598887275,-0.97767864272,1.46232368445,0.88359801241,0.82922511122,-0.891333809783,-0.931945777628,0.82922511122,2.46598428991,-0.886082871419,-0.557686197036,-0.639154330746,1.45833241354,-0.816727215857,1.41350611869,0.770061301995,1.60691328986,-0.808552747867,-0.886082871419,-0.900985932628,2,31
263,-0.939111692322,-0.900985932628,0.0409442034343,-0.982255861727,1.22900577317,0.88359801241,0.884860581553,-0.891333809783,-0.931945777628,0.884860581553,2.46598428991,-0.886082871419,-0.600443733491,-0.639154330746,1.15198233842,-0.816727215857,1.08823650897,1.00344554895,1.43885809782,-0.808552747867,-0.886082871419,-0.900985932628,2,31
264,-1.05564005753,-0.900985932628,-0.389244580678,-1.10328884553,2.02095358116,-1.44358069665,-1.37969284275,-0.891333809783,-0.931945777628,-1.37969284275,-1.16429177599,-0.886082871419,-1.20055715708,-0.639154330746,1.93706384669,-0.816727215857,1.86831553051,0.86463963708,-0.907169259978,-0.808552747867,-0.886082871419,-0.900985932628,6,31
265,-1.05564005753,-0.900985932628,-0.0702235987183,-1.10328884553,1.7557866779,-1.44358069665,-1.37969284275,-0.891333809783,-0.931945777628,-1.37969284275,-1.16429177599,-0.886082871419,-1.20055715708,-0.639154330746,1.93706384669,-0.816727215857,1.86831553051,1.11589036506,-0.212276745666,-0.808552747867,-0.886082871419,-0.900985932628,6,31
266,-1.05564005753,-0.900985932628,0.338173713025,-1.10328884553,1.07682271473,-1.44358069665,-1.37969284275,-0.891333809783,-0.931945777628,-1.37969284275,-1.16429177599,-0.886082871419,-1.20055715708,-0.639154330746,1.2472423603,-0.816727215857,1.22712546397,1.21673363258,1.10892289908,-0.808552747867,-0.886082871419,-0.900985932628,2,31
267,-1.05564005753,-0.900985932628,-0.5918031564,-1.10328884553,2.02257492076,-1.44358069665,-1.37969284275,-0.891333809783,-0.931945777628,-1.37969284275,-1.16429177599,-0.886082871419,-1.20055715708,-0.639154330746,1.93706384669,-0.816727215857,1.86831553051,1.19268280114,-0.53661661914,-0.808552747867,-0.886082871419,-0.900985932628,6,31
268,-1.05564005753,-0.900985932628,-0.343146264769,-1.10328884553,1.88097972931,-1.44358069665,-1.37969284275,-0.891333809783,-0.931945777628,-1.37969284275,-1.16429177599,-0.886082871419,-1.20055715708,-0.639154330746,1.93706384669,-0.816727215857,1.86831553051,1.44522402575,0.0844824272201,-0.808552747867,-0.886082871419,-0.900985932628,2,31
269,-1.05564005753,-0.900985932628,-0.105664437718,-1.10328884553,1.51116810262,-1.44358069665,-1.37969284275,-0.891333809783,-0.931945777628,-1.37969284275,-1.16429177599,-0.886082871419,-1.20055715708,-0.639154330746,1.61661681409,-0.816727215857,1.57477034664,1.23704482597,0.208278358649,-0.808552747867,-0.886082871419,-0.900985932628,2,31
270,2.02292682607,0.715361833321,0.444781865428,1.8572220251,-0.401286854864,0.795295310744,0.815592850221,1.0270199668,1.20433602805,0.815592850221,-0.327359857285,0.602316851985,2.34407781803,1.50897108912,-0.285052067588,1.34606967507,-0.174425373399,-0.0957010052071,0.10724174977,1.36508393332,0.602316851985,0.715361833321,1,32
271,2.00302734917,0.849071087691,0.0384515140112,1.84450709873,-0.173885182063,0.783512346471,0.687782216664,1.20304496619,1.22465901102,0.687782216664,-0.36361326979,0.118605613657,2.28823153954,0.95662328506,-0.133693302524,1.50895329823,0.0593878517415,-1.22273127835,-0.0470547193656,1.50143820974,0.118605613657,0.849071087691,1,32
272,1.99159634532,0.856418061365,0.0305870295434,1.80769207965,-0.206670898657,0.704326583661,0.706117006308,1.20636779121,1.55351364897,0.706117006308,-0.337192482074,0.631869739476,2.27904127826,0.626836745793,0.15413868758,1.59963424304,0.123125835493,-1.06537365305,-0.118570987269,1.62366427526,0.631869739476,0.856418061365,1,32
273,2.02912746225,1.39575273968,0.486945972355,1.82410452148,-0.380335502484,0.796050779498,0.997933033959,1.21171900756,1.53458612006,0.997933033959,-0.298057432462,0.458181290464,2.29827089663,0.865272721616,-0.25304520061,1.62184987846,-0.0677483293976,-0.228881358805,-0.635467644139,1.60538522433,0.458181290464,1.39575273968,1,32
274,1.98583623171,0.885374568837,0.164286185359,1.83713967405,-0.362708741652,0.744099970958,0.752342035095,1.21632445686,1.61083471478,0.752342035095,-0.371821048249,0.453851078044,2.23597118818,0.790240037752,-0.141350327716,1.7670278543,0.0136574536481,-1.22197907958,-0.480740841591,1.7314554005,0.453851078044,0.885374568837,1,32
275,2.01034763637,0.49231998263,-0.131788710038,1.83196021617,-0.298261989989,0.735751589595,0.568201343641,1.09445171812,1.62019163125,0.568201343641,-0.451779273506,0.612021940779,2.32868550905,0.636136767304,0.0819142740151,1.72441108106,-0.00765591330938,-0.342008481027,-0.248661418742,1.73361497151,0.612021940779,0.49231998263,1,32
276,1.98037360463,1.26621198547,0.511059130888,1.80304831067,-0.235827718578,0.718149676607,1.20027201316,1.09685307471,1.64603810411,1.20027201316,-0.0641512657779,1.05715437974,2.21632307267,1.21252623335,0.0847553195615,1.76835191088,0.0846262591834,-0.304443308527,0.136350794792,1.75429582223,1.05715437974,1.26621198547,1,32
277,2.04011313822,0.990587384971,0.730940980946,1.87409461497,-0.542132132536,0.765312072141,1.0709111136,1.265204997,1.78601878665,1.0709111136,-0.221530908426,0.724560899967,2.31991736432,1.00892774351,-0.232526750146,1.8342349191,-0.16194997317,-0.228758669355,-1.46939344487,1.81074739293,0.724560899967,0.990587384971,1,32
278,2.07402260028,0.472693740474,0.4034825619,1.8841371783,-0.599996337515,0.732099108482,0.617912156679,1.18974770237,1.68726073564,0.617912156679,-0.415717582539,0.489783017394,2.45340024026,1.00892774351,-0.24696401739,1.77690424893,-0.338660187376,0.94441253612,-0.716658852145,1.75911660211,0.489783017394,0.472693740474,1,32
279,-0.458116633369,-0.900985932628,0.837197857468,-0.74214904975,1.19995911157,0.437801288944,2.47875232077,-0.891333809783,-0.931945777628,2.47875232077,-1.16429177599,-0.886082871419,-0.0517870870226,-0.639154330746,1.75592505748,-0.816727215857,1.7074453461,2.08281626044,-0.647597689327,-0.808552747867,-0.886082871419,-0.900985932628,2,33
280,-0.512084242455,-0.900985932628,0.981290172391,-0.749357134267,0.89670907393,0.750306162454,1.73700648705,-0.891333809783,-0.931945777628,1.73700648705,-1.16429177599,-0.886082871419,0.0161939030176,-0.639154330746,1.15305532584,-0.816727215857,1.14668315317,2.38721549635,-2.04747642611,-0.808552747867,-0.886082871419,-0.900985932628,2,33
281,-0.0647351428582,2.06731768511,1.33883753338,-0.375310631404,0.481667205573,0.76038743475,2.07830079449,0.373611230743,0.499146662409,2.07830079449,1.28482362068,2.15023046451,0.0842301043403,-0.639154330746,0.944206554353,-0.251737327781,0.88115705365,2.75866650102,0.86552404282,0.0698912036876,2.15023046451,2.06731768511,1,33
282,-0.912220316361,-0.900985932628,0.420348672648,-1.02777572011,1.21260175084,-0.00846736643197,2.47817888345,-0.891333809783,-0.931945777628,2.47817888345,-1.16429177599,-0.886082871419,-0.493806244014,-0.639154330746,1.7549555223,-0.816727215857,1.70654996849,1.83571422684,-1.02667240332,-0.808552747867,-0.886082871419,-0.900985932628,2,33
283,-0.714920344262,-0.900985932628,0.65266148331,-0.867206955316,1.05037060242,1.24055060524,0.79354062443,-0.891333809783,-0.931945777628,0.79354062443,-1.16429177599,-0.886082871419,-0.279071213983,-0.639154330746,1.5569828563,-0.816727215857,1.51538691487,2.34986369359,-0.364344807046,-0.808552747867,-0.886082871419,-0.900985932628,2,33
284,-0.318624776487,-0.900985932628,1.21249551904,-0.554272834073,0.65632602616,0.88359801241,1.89104112277,-0.891333809783,-0.931945777628,1.89104112277,1.96114902364,-0.886082871419,0.0338935478186,-0.639154330746,1.31916256851,-0.816727215857,1.26150577174,2.38368959724,0.280353756889,-0.808552747867,-0.886082871419,-0.900985932628,2,33
285,-0.728695094792,-0.900985932628,0.934901283258,-0.916004494827,1.00351638359,0.470072724486,1.98949643285,-0.891333809783,-0.931945777628,1.98949643285,-1.16429177599,-0.886082871419,-0.182099503294,-0.639154330746,1.48132776843,-0.816727215857,1.46970170044,2.61318656656,-0.851487974999,-0.808552747867,-0.886082871419,-0.900985932628,2,33
286,-0.460805549158,-0.900985932628,0.597625185588,-0.450764145854,1.13370392808,1.10077415321,-0.0698323694031,-0.891333809783,-0.931945777628,-0.0698323694031,2.41407986928,-0.886082871419,-0.160210964155,-0.639154330746,1.36212584632,-0.816727215857,1.30951023124,1.89754298922,0.766344004057,-0.808552747867,-0.886082871419,-0.900985932628,2,33
287,0.0856378215459,-0.900985932628,1.13676754592,0.0275043827786,0.735377630353,1.07338571347,0.701252802598,-0.891333809783,-0.931945777628,0.701252802598,2.06476715745,-0.886082871419,0.23745342682,-0.639154330746,1.0299423334,-0.816727215857,0.933674111143,1.56321502575,0.93631881849,-0.808552747867,-0.886082871419,-0.900985932628,2,33
288,1.04816436793,-0.900985932628,1.42785273829,0.844149840623,-0.208198906949,0.958327776487,1.03813528126,-0.891333809783,-0.931945777628,1.03813528126,0.504417717749,-0.886082871419,0.919380539142,-0.639154330746,0.0343923109824,-0.816727215857,-0.208769206705,0.934625757331,-0.63829640318,-0.808552747867,-0.886082871419,-0.900985932628,2,34
289,0.143555294929,-0.900985932628,0.998331283428,0.021331335622,0.488450280505,1.38568736615,0.58400005088,-0.891333809783,-0.931945777628,0.58400005088,1.56024856877,-0.886082871419,0.279206002353,-0.639154330746,0.191880044659,-0.816727215857,0.00127323261564,1.61609498689,1.23473197622,-0.808552747867,-0.886082871419,-0.900985932628,2,34
290,0.434600856557,-0.900985932628,0.902612929339,0.112865499008,0.63133427593,0.65398279849,1.17879486257,1.41252899464,0.451289951895,1.17879486257,1.23137706554,2.1497308516,0.576320579613,-0.639154330746,0.499964563991,-0.381941008304,0.339084113393,1.81570013889,2.04952406947,-0.352838479375,2.1497308516,-0.900985932628,1,34
291,1.02043122245,-0.900985932628,1.43636300673,0.707581820664,-0.340472494885,0.755103223753,1.13362635545,-0.891333809783,-0.931945777628,1.13362635545,0.337475466261,-0.886082871419,0.88852637257,-0.639154330746,0.113874721157,-0.816727215857,-0.130683044964,0.466126707231,-0.0392875630104,-0.808552747867,-0.886082871419,-0.900985932628,2,34
292,0.537507793257,-0.900985932628,1.01653762065,0.37749682286,0.160024494023,0.959806658557,0.503128376405,-0.891333809783,-0.931945777628,0.503128376405,1.19300208874,-0.886082871419,0.742426327549,-0.639154330746,0.241016565325,-0.816727215857,0.0731009231516,0.0850618428034,1.95924175418,-0.808552747867,-0.886082871419,-0.900985932628,2,34
293,0.702730081297,-0.900985932628,0.874433827838,0.432854299587,0.243756112039,0.703333679456,0.993930724594,1.41252899464,0.401668078887,0.993930724594,1.02836642603,2.13501096295,0.960998340341,-0.639154330746,0.300902579524,-0.448472234042,0.136157243249,0.832641674939,2.6250346626,-0.422169243461,2.13501096295,-0.900985932628,1,34
294,1.10556119614,-0.900985932628,1.53047979722,0.769312230569,-0.16173608145,0.684687248087,1.23553413382,-0.891333809783,-0.931945777628,1.23553413382,0.664612943612,-0.886082871419,1.16816482336,-0.639154330746,-0.163638917419,-0.816727215857,-0.23518384746,0.8398294695,0.562575169573,-0.808552747867,-0.886082871419,-0.900985932628,2,34
295,0.761598995466,-0.900985932628,1.46365696825,0.504511524211,0.0542575852777,0.599137652352,0.974354020413,-0.891333809783,-0.931945777628,0.974354020413,1.45555453358,-0.886082871419,0.968956659893,-0.639154330746,-0.32138118654,-0.816727215857,-0.269622114494,0.763017456698,0.806701607823,-0.808552747867,-0.886082871419,-0.900985932628,2,34
296,0.606412005502,-0.900985932628,1.00011479242,0.380079943051,0.226635552556,0.587061978987,0.584251611505,-0.891333809783,-0.931945777628,0.584251611505,1.0763645831,-0.886082871419,0.866608157952,-0.639154330746,-0.109126306026,-0.816727215857,-0.134472986486,1.44821606255,2.46435046659,-0.808552747867,-0.886082871419,-0.900985932628,2,34
